Symptoms of mental illness,Unarmed/Did Not Have an Actual Weapon,Alleged Weapon,Fleeing,Body Camera,Victims gender,Victims race
Yes,Allegedly Armed,knife,Not fleeing,Yes,Male,White
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Other,No,Male,White
Yes,Allegedly Armed,knife,Not fleeing,Yes,Male,White
No,Allegedly Armed,gun,Foot,No,Male,Hispanic
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Foot,No,Male,Black
No,Allegedly Armed,gun,Other,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Female,Black
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,Black
No,Unclear,undetermined,Car,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Inputed NF,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
Drug or alcohol use,Allegedly Armed,gun,Not fleeing,Inputed No,Male,White
Yes,Allegedly Armed,knife,Not fleeing,Yes,Male,Asian
No,Allegedly Armed,gun,Not fleeing,No,Male,Asian
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Hispanic
Unknown,Unclear,undetermined,Not fleeing,Inputed No,Male,Hispanic
No,Allegedly Armed,gun,Foot,No,Male,White
No,Allegedly Armed,knife,Car,Yes,Male,White
No,Allegedly Armed,gun,Other,Yes,Male,White
No,Allegedly Armed,gun,Foot,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Car,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
Yes,Allegedly Armed,others,Not fleeing,No,Female,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Car,No,Male,Hispanic
Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,no object,Car,Yes,Male,White
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,Unknown race
Yes,Vehicle,vehicle,Car,No,Male,White
No,Allegedly Armed,others,Not fleeing,No,Male,Black
Yes,Allegedly Armed,gun,Not fleeing,Yes,Male,White
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,White
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Foot,No,Male,Black
No,Allegedly Armed,gun,Foot,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Black
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,Yes,Male,White
No,Allegedly Armed,gun,Foot,No,Male,Hispanic
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Unarmed/Did Not Have an Actual Weapon,others,Foot,No,Male,Black
Unknown,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White
No,Vehicle,vehicle,Car,No,Male,Hispanic
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,knife,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Foot,Inputed No,Male,Hispanic
No,Unclear,undetermined,Not fleeing,No,Male,White
No,Vehicle,vehicle,Car,No,Male,Hispanic
No,Allegedly Armed,gun,Other,No,Male,Hispanic
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Foot,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White
Unknown,Unclear,undetermined,Inputed NF,No,Male,White
No,Allegedly Armed,knife,Car,No,Male,Hispanic
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,White
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,White
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Unclear,gun,Foot,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Car,Yes,Male,Hispanic
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,Black
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,Yes,Male,White
No,Allegedly Armed,gun,Foot,Yes,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Black
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,White
No,Unclear,others,Not fleeing,Yes,Male,Black
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Car,No,Male,Black
No,Vehicle,vehicle,Not fleeing,No,Male,Hispanic
No,Vehicle,vehicle,Car,No,Male,Hispanic
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Other,No,Male,Hispanic
Yes,Allegedly Armed,others,Not fleeing,No,Male,Hispanic
Yes,Vehicle,vehicle,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Other,No,Male,Hispanic
No,Allegedly Armed,knife,Not fleeing,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,Black
Yes,Vehicle,vehicle,Car,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Female,Black
Yes,Allegedly Armed,gun,Foot,No,Female,Native American
No,Allegedly Armed,gun,Not fleeing,No,Female,Native American
No,Unclear,undetermined,Not fleeing,No,Male,Black
No,Unclear,undetermined,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Foot,No,Male,Hispanic
No,Allegedly Armed,gun,Car,Yes,Male,Hispanic
No,Allegedly Armed,gun,Car,No,Male,Black
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Unclear,undetermined,Not fleeing,No,Male,White
No,Unclear,undetermined,Not fleeing,No,Male,Hispanic
No,Unclear,undetermined,Not fleeing,No,Male,Hispanic
No,Unarmed/Did Not Have an Actual Weapon,others,Other,No,Male,Black
No,Allegedly Armed,gun,Foot,No,Male,White
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
No,Vehicle,vehicle,Car,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,Hispanic
No,Unclear,undetermined,Not fleeing,No,Male,White
No,Allegedly Armed,knife,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Car,Yes,Male,Black
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Black
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Black
No,Unarmed/Did Not Have an Actual Weapon,no object,Other,No,Male,Black
No,Allegedly Armed,gun,Foot,Inputed No,Male,Black
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Black
Yes,Allegedly Armed,gun,Not fleeing,No,Female,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Vehicle,vehicle,Car,Inputed No,Male,Black
Unknown,Allegedly Armed,others,Car,No,Male,Black
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
No,Allegedly Armed,others,Not fleeing,No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Native American
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,knife,Not fleeing,Yes,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Pacific Islander
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Yes,Male,Hispanic
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Female,White
No,Allegedly Armed,gun,Car,No,Male,Black
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Black
No,Vehicle,vehicle,Car,No,Male,Black
No,Allegedly Armed,gun,Other,No,Male,Black
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Car,Yes,Male,Hispanic
No,Allegedly Armed,gun,Car,Inputed No,Male,White
No,Allegedly Armed,gun,Car,No,Male,White
No,Allegedly Armed,gun,Foot,No,Male,White
No,Allegedly Armed,gun,Not fleeing,Yes,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Female,White
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,Black
No,Vehicle,vehicle,Car,No,Male,Unknown race
Yes,Allegedly Armed,knife,Not fleeing,Yes,Transgender,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Foot,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Black
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Yes,Male,Native American
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,Native American
Yes,Allegedly Armed,gun,Car,Yes,Male,Hispanic
Unknown,Unarmed/Did Not Have an Actual Weapon,others,Foot,No,Male,Black
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Car,No,Male,White
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Car,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Unclear,others,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Other,No,Male,Black
No,Vehicle,vehicle,Car,No,Female,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Black
Yes,Allegedly Armed,gun,Foot,No,Male,White
No,Vehicle,vehicle,Not fleeing,No,Female,Native American
No,Allegedly Armed,gun,Car,No,Male,Hispanic
No,Allegedly Armed,knife,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Car,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Other,Yes,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,Asian
Yes,Vehicle,vehicle,Car,No,Female,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Female,Hispanic
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,knife,Foot,Inputed No,Male,White
No,Allegedly Armed,others,Not fleeing,Yes,Male,White
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,White
Yes,Allegedly Armed,gun,Car,No,Male,Black
No,Allegedly Armed,gun,Foot,Yes,Male,White
No,Allegedly Armed,knife,Other,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Car,No,Male,White
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,Hispanic
No,Allegedly Armed,knife,Foot,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White
Yes,Unclear,others,Not fleeing,Yes,Male,White
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Foot,Yes,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,knife,Not fleeing,Inputed No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Yes,Male,White
No,Allegedly Armed,gun,Foot,No,Male,Black
No,Allegedly Armed,gun,Foot,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Car,No,Female,White
No,Unarmed/Did Not Have an Actual Weapon,others,Foot,No,Male,Hispanic
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White
No,Vehicle,vehicle,Car,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Foot,Yes,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Native American
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Female,White
Yes,Unarmed/Did Not Have an Actual Weapon,others,Foot,No,Male,White
No,Vehicle,vehicle,Car,No,Male,White
Yes,Allegedly Armed,others,Not fleeing,No,Male,White
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Female,White
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Unarmed/Did Not Have an Actual Weapon,others,Foot,No,Male,White
Unknown,Allegedly Armed,others,Foot,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,knife,Foot,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
Unknown,Vehicle,vehicle,Foot,No,Male,White
No,Allegedly Armed,gun,Foot,Yes,Male,Black
No,Unclear,undetermined,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Car,No,Male,White
No,Allegedly Armed,knife,Not fleeing,Yes,Male,White
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Yes,Male,Black
Unknown,Allegedly Armed,knife,Not fleeing,Yes,Male,Hispanic
Unknown,Unclear,undetermined,Inputed NF,No,Male,Unknown race
Yes,Allegedly Armed,knife,Not fleeing,No,Female,Pacific Islander
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,White
Unknown,Unclear,others,Not fleeing,No,Male,Asian
Unknown,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,Yes,Male,White
Yes,Allegedly Armed,knife,Not fleeing,Yes,Male,White
Unknown,Unclear,undetermined,Car,No,Male,White
No,Unclear,undetermined,Not fleeing,No,Male,White
Yes,Allegedly Armed,others,Not fleeing,No,Male,Black
Unknown,Allegedly Armed,gun,Not fleeing,Yes,Male,Hispanic
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,No,Female,Black
Yes,Unclear,others,Not fleeing,No,Male,White
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Black
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Black
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
Unknown,Vehicle,vehicle,Car,No,Male,White
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Black
Unknown,Allegedly Armed,gun,Foot,Yes,Male,Hispanic
Unknown,Allegedly Armed,gun,Not fleeing,Yes,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,Yes,Male,White
Unknown,Unclear,undetermined,Car,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Black
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Black
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Black
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,Hispanic
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,Black
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Black
Unknown,Vehicle,vehicle,Inputed NF,Inputed No,Male,White
Unknown,Allegedly Armed,gun,Inputed NF,No,Male,Black
Yes,Unclear,undetermined,Not fleeing,No,Male,Hispanic
Unknown,Allegedly Armed,gun,Other,No,Female,White
Unknown,Unarmed/Did Not Have an Actual Weapon,others,Inputed NF,Inputed No,Male,White
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,Hispanic
Unknown,Vehicle,vehicle,Car,No,Male,White
Unknown,Allegedly Armed,gun,Other,No,Male,White
Yes,Allegedly Armed,others,Not fleeing,No,Male,White
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Asian
Unknown,Vehicle,vehicle,Car,No,Male,Black
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,Yes,Male,Black
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,Asian
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Yes,Allegedly Armed,gun,Not fleeing,No,Female,White
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
Unknown,Unclear,undetermined,Inputed NF,Yes,Male,Hispanic
Unknown,Unclear,undetermined,Not fleeing,No,Male,White
Yes,Allegedly Armed,others,Not fleeing,No,Male,White
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,Pacific Islander
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Yes,Allegedly Armed,gun,Not fleeing,No,Female,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,others,Not fleeing,No,Male,Black
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Black
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,others,Not fleeing,No,Male,White
Unknown,Allegedly Armed,knife,Inputed NF,No,Male,Hispanic
Unknown,Allegedly Armed,knife,Inputed NF,No,Male,Unknown race
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Black
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Black
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Foot,No,Male,Black
No,Unarmed/Did Not Have an Actual Weapon,vehicle,Inputed NF,Inputed No,Male,White
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black
Unknown,Allegedly Armed,gun,Car,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Black
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
Unknown,Allegedly Armed,gun,Foot,No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Unknown,Allegedly Armed,others,Not fleeing,Yes,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Female,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Black
Unknown,Allegedly Armed,others,Not fleeing,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White
Drug or alcohol use,Allegedly Armed,knife,Not fleeing,No,Male,Black
Unknown,Allegedly Armed,gun,Car,No,Female,Asian
Unknown,Allegedly Armed,gun,Car,No,Male,Asian
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Unknown,Allegedly Armed,gun,Car,No,Male,Hispanic
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Unknown,Allegedly Armed,gun,Foot,No,Male,White
Unknown,Allegedly Armed,gun,Foot,No,Male,Black
Unknown,Allegedly Armed,others,Car,No,Male,Asian
No,Unclear,undetermined,Not fleeing,No,Male,Hispanic
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Allegedly Armed,gun,Foot,No,Male,Hispanic
Unknown,Allegedly Armed,gun,Inputed NF,No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Unknown,Allegedly Armed,others,Not fleeing,No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Car,Yes,Male,White
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Female,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Female,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Black
Yes,Unarmed/Did Not Have an Actual Weapon,others,Foot,Yes,Male,White
Unknown,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White
Unknown,Allegedly Armed,knife,Not fleeing,Yes,Male,Hispanic
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Foot,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Black
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White
Unknown,Unclear,undetermined,Inputed NF,Inputed No,Male,Hispanic
No,Allegedly Armed,knife,Not fleeing,No,Male,Black
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,Black
Unknown,Allegedly Armed,gun,Inputed NF,No,Male,Black
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Black
Unknown,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,Black
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Female,Black
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Black
Yes,Allegedly Armed,gun,Foot,No,Male,Black
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Car,No,Male,White
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White
Unknown,Vehicle,vehicle,Car,No,Male,Black
Unknown,Vehicle,vehicle,Car,No,Male,White
No,Vehicle,vehicle,Car,No,Male,White
Unknown,Allegedly Armed,others,Not fleeing,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Black
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,Black
Unknown,Unclear,undetermined,Not fleeing,No,Male,Black
Unknown,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Black
Unknown,Allegedly Armed,others,Not fleeing,No,Male,Hispanic
Unknown,Allegedly Armed,gun,Foot,No,Male,White
Unknown,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White
Unknown,Unclear,undetermined,Inputed NF,No,Male,Hispanic
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Black
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Vehicle,vehicle,Car,No,Male,Hispanic
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Unknown,Allegedly Armed,gun,Car,No,Male,Hispanic
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Allegedly Armed,others,Not fleeing,No,Male,Hispanic
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Unknown,Vehicle,vehicle,Car,No,Male,Black
No,Vehicle,vehicle,Inputed NF,Inputed No,Male,Black
No,Vehicle,vehicle,Inputed NF,Inputed No,Male,Black
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White
Unknown,Unclear,undetermined,Not fleeing,No,Male,White
Unknown,Vehicle,vehicle,Car,No,Male,White
Yes,Allegedly Armed,gun,Car,No,Male,White
Unknown,Allegedly Armed,others,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Female,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Allegedly Armed,knife,Foot,No,Male,Asian
Unknown,Allegedly Armed,gun,Foot,No,Male,White
No,Allegedly Armed,gun,Car,No,Male,Black
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Foot,Yes,Male,White
