Symptoms of mental illness,Unarmed/Did Not Have an Actual Weapon,Alleged Weapon,Fleeing,Body Camera,Victims gender,Victims race,Cluster
Yes,Allegedly Armed,knife,Not fleeing,Yes,Male,White,1
Yes,Allegedly Armed,gun,Not fleeing,Yes,Male,White,1
No,Vehicle,vehicle,Car,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,others,Not fleeing,No,Male,Asian,1
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,gun,Car,No,Female,White,1
Yes,Allegedly Armed,gun,Not fleeing,Yes,Male,Black,1
No,Allegedly Armed,gun,Foot,No,Male,White,0
No,Allegedly Armed,gun,Other,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Female,White,1
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,White,3
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,Black,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Vehicle,vehicle,Car,No,Male,Black,0
Unknown,Vehicle,vehicle,Car,Yes,Male,Black,0
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic,1
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Female,White,3
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Unknown,Unclear,undetermined,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Other,No,Male,Black,0
No,Allegedly Armed,gun,Car,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Pacific Islander,1
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Foot,No,Male,Black,0
No,Allegedly Armed,gun,Foot,No,Male,Black,0
No,Allegedly Armed,gun,Car,No,Female,Black,0
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White,1
No,Vehicle,vehicle,Car,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Unknown,Allegedly Armed,others,Not fleeing,No,Male,Hispanic,0
Unknown,Allegedly Armed,others,Not fleeing,Inputed No,Male,Black,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Unclear,undetermined,Foot,Yes,Male,White,0
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Car,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Unclear,undetermined,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Car,No,Male,Hispanic,0
No,Unarmed/Did Not Have an Actual Weapon,no object,Car,No,Male,White,3
No,Vehicle,vehicle,Car,Yes,Male,White,0
No,Allegedly Armed,gun,Foot,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic,0
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Car,No,Male,White,0
No,Unclear,undetermined,Not fleeing,Inputed No,Male,Hispanic,0
No,Allegedly Armed,gun,Foot,No,Male,Black,0
No,Allegedly Armed,gun,Foot,No,Male,Black,0
Yes,Allegedly Armed,others,Not fleeing,No,Female,White,1
Yes,Allegedly Armed,knife,Foot,No,Male,Black,1
No,Allegedly Armed,knife,Not fleeing,Yes,Male,Black,0
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic,0
No,Vehicle,vehicle,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic,1
Unknown,Allegedly Armed,others,Not fleeing,Yes,Female,Black,0
No,Allegedly Armed,others,Not fleeing,No,Male,White,0
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,White,3
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Yes,Male,Black,3
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic,1
Unknown,Allegedly Armed,gun,Foot,No,Male,White,0
No,Allegedly Armed,others,Not fleeing,No,Male,White,0
Yes,Unclear,others,Not fleeing,Yes,Female,White,1
No,Unclear,undetermined,Inputed NF,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
Yes,Unclear,others,Not fleeing,No,Male,Hispanic,1
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Foot,Yes,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
Unknown,Allegedly Armed,gun,Foot,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Female,White,1
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
Unknown,Unclear,others,Not fleeing,Yes,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
Yes,Allegedly Armed,gun,Not fleeing,Yes,Male,White,1
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
No,Unclear,others,Not fleeing,Yes,Female,Native American,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
Yes,Allegedly Armed,others,Not fleeing,No,Male,Hispanic,1
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
Yes,Allegedly Armed,gun,Not fleeing,Yes,Male,White,1
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,knife,Foot,No,Male,White,0
No,Allegedly Armed,others,Not fleeing,Yes,Male,Hispanic,0
No,Unarmed/Did Not Have an Actual Weapon,others,Foot,No,Male,Black,0
Drug or alcohol use,Unclear,undetermined,Not fleeing,Inputed No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Black,1
No,Allegedly Armed,gun,Foot,Yes,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,others,Not fleeing,No,Male,Hispanic,1
No,Vehicle,vehicle,Other,Yes,Male,White,0
Yes,Allegedly Armed,gun,Car,No,Male,White,1
Yes,Allegedly Armed,knife,Not fleeing,Yes,Male,White,1
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Other,No,Male,White,0
Yes,Allegedly Armed,knife,Not fleeing,Yes,Male,White,1
No,Allegedly Armed,gun,Foot,No,Male,Hispanic,0
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,Black,1
No,Allegedly Armed,gun,Foot,No,Male,Black,0
No,Allegedly Armed,gun,Other,No,Male,White,0
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Female,Black,0
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,Black,3
No,Unclear,undetermined,Car,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,1
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Inputed NF,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
Drug or alcohol use,Allegedly Armed,gun,Not fleeing,Inputed No,Male,White,0
Yes,Allegedly Armed,knife,Not fleeing,Yes,Male,Asian,1
No,Allegedly Armed,gun,Not fleeing,No,Male,Asian,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,1
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Hispanic,1
Unknown,Unclear,undetermined,Not fleeing,Inputed No,Male,Hispanic,0
No,Allegedly Armed,gun,Foot,No,Male,White,0
No,Allegedly Armed,knife,Car,Yes,Male,White,0
No,Allegedly Armed,gun,Other,Yes,Male,White,0
No,Allegedly Armed,gun,Foot,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Car,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
Yes,Allegedly Armed,others,Not fleeing,No,Female,White,1
No,Unarmed/Did Not Have an Actual Weapon,no object,Car,No,Male,Hispanic,3
Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,no object,Car,Yes,Male,White,3
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,Unknown race,3
Yes,Vehicle,vehicle,Car,No,Male,White,1
No,Allegedly Armed,others,Not fleeing,No,Male,Black,0
Yes,Allegedly Armed,gun,Not fleeing,Yes,Male,White,1
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,White,0
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Foot,No,Male,Black,1
No,Allegedly Armed,gun,Foot,No,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Black,0
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
Yes,Allegedly Armed,gun,Not fleeing,Yes,Male,White,1
No,Allegedly Armed,gun,Foot,No,Male,Hispanic,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
Yes,Unarmed/Did Not Have an Actual Weapon,others,Foot,No,Male,Black,1
Unknown,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White,0
No,Vehicle,vehicle,Car,No,Male,Hispanic,0
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,knife,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Unarmed/Did Not Have an Actual Weapon,no object,Foot,Inputed No,Male,Hispanic,3
No,Unclear,undetermined,Not fleeing,No,Male,White,0
No,Vehicle,vehicle,Car,No,Male,Hispanic,0
No,Allegedly Armed,gun,Other,No,Male,Hispanic,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Unarmed/Did Not Have an Actual Weapon,no object,Foot,No,Male,White,3
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White,0
Unknown,Unclear,undetermined,Inputed NF,No,Male,White,0
No,Allegedly Armed,knife,Car,No,Male,Hispanic,0
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,White,3
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,White,0
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White,1
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,1
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,1
No,Unclear,gun,Foot,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Car,Yes,Male,Hispanic,0
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,Black,1
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,Yes,Male,White,0
No,Allegedly Armed,gun,Foot,Yes,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Black,1
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,White,3
No,Unclear,others,Not fleeing,Yes,Male,Black,0
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Unarmed/Did Not Have an Actual Weapon,no object,Car,No,Male,Black,3
No,Vehicle,vehicle,Not fleeing,No,Male,Hispanic,0
No,Vehicle,vehicle,Car,No,Male,Hispanic,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
Yes,Allegedly Armed,gun,Other,No,Male,Hispanic,1
Yes,Allegedly Armed,others,Not fleeing,No,Male,Hispanic,1
Yes,Vehicle,vehicle,Not fleeing,No,Male,Black,1
No,Allegedly Armed,gun,Other,No,Male,Hispanic,0
No,Allegedly Armed,knife,Not fleeing,No,Male,White,0
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White,0
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,Black,3
Yes,Vehicle,vehicle,Car,No,Male,White,1
No,Allegedly Armed,gun,Not fleeing,No,Female,Black,0
Yes,Allegedly Armed,gun,Foot,No,Female,Native American,1
No,Allegedly Armed,gun,Not fleeing,No,Female,Native American,0
No,Unclear,undetermined,Not fleeing,No,Male,Black,0
No,Unclear,undetermined,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Foot,No,Male,Hispanic,0
No,Allegedly Armed,gun,Car,Yes,Male,Hispanic,0
No,Allegedly Armed,gun,Car,No,Male,Black,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
No,Unclear,undetermined,Not fleeing,No,Male,White,0
No,Unclear,undetermined,Not fleeing,No,Male,Hispanic,0
No,Unclear,undetermined,Not fleeing,No,Male,Hispanic,0
No,Unarmed/Did Not Have an Actual Weapon,others,Other,No,Male,Black,0
No,Allegedly Armed,gun,Foot,No,Male,White,0
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
No,Vehicle,vehicle,Car,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,Hispanic,3
No,Unclear,undetermined,Not fleeing,No,Male,White,0
No,Allegedly Armed,knife,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
Yes,Allegedly Armed,gun,Car,Yes,Male,Black,1
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Black,0
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Black,0
No,Unarmed/Did Not Have an Actual Weapon,no object,Other,No,Male,Black,3
No,Allegedly Armed,gun,Foot,Inputed No,Male,Black,2
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Black,1
Yes,Allegedly Armed,gun,Not fleeing,No,Female,Black,1
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Vehicle,vehicle,Car,Inputed No,Male,Black,2
Unknown,Allegedly Armed,others,Car,No,Male,Black,0
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
No,Allegedly Armed,others,Not fleeing,No,Male,White,0
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Native American,0
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,knife,Not fleeing,Yes,Male,White,1
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,1
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Pacific Islander,0
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,White,3
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Yes,Male,Hispanic,3
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Female,White,3
No,Allegedly Armed,gun,Car,No,Male,Black,0
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Black,0
No,Vehicle,vehicle,Car,No,Male,Black,0
No,Allegedly Armed,gun,Other,No,Male,Black,0
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Car,Yes,Male,Hispanic,0
No,Allegedly Armed,gun,Car,Inputed No,Male,White,2
No,Allegedly Armed,gun,Car,No,Male,White,0
No,Allegedly Armed,gun,Foot,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,Yes,Male,White,0
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Female,White,3
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,Black,3
No,Vehicle,vehicle,Car,No,Male,Unknown race,0
Yes,Allegedly Armed,knife,Not fleeing,Yes,Transgender,White,1
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,gun,Foot,No,Male,White,0
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Black,0
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,1
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Yes,Male,Native American,3
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,Native American,3
Yes,Allegedly Armed,gun,Car,Yes,Male,Hispanic,1
Unknown,Unarmed/Did Not Have an Actual Weapon,others,Foot,No,Male,Black,0
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Black,1
No,Allegedly Armed,gun,Car,No,Male,White,0
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,1
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Car,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,1
No,Unclear,others,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Other,No,Male,Black,0
No,Vehicle,vehicle,Car,No,Female,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Black,1
Yes,Allegedly Armed,gun,Foot,No,Male,White,1
No,Vehicle,vehicle,Not fleeing,No,Female,Native American,0
No,Allegedly Armed,gun,Car,No,Male,Hispanic,0
No,Allegedly Armed,knife,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Car,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,gun,Other,Yes,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,Asian,1
Yes,Vehicle,vehicle,Car,No,Female,Black,1
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Female,Hispanic,3
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic,1
No,Allegedly Armed,knife,Foot,Inputed No,Male,White,2
No,Allegedly Armed,others,Not fleeing,Yes,Male,White,0
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,White,0
Yes,Allegedly Armed,gun,Car,No,Male,Black,1
No,Allegedly Armed,gun,Foot,Yes,Male,White,0
No,Allegedly Armed,knife,Other,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Car,No,Male,White,0
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,Hispanic,3
No,Allegedly Armed,knife,Foot,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
Unknown,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White,0
Yes,Unclear,others,Not fleeing,Yes,Male,White,1
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,gun,Foot,Yes,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,knife,Not fleeing,Inputed No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Yes,Male,White,3
No,Allegedly Armed,gun,Foot,No,Male,Black,0
No,Allegedly Armed,gun,Foot,No,Male,White,0
No,Unarmed/Did Not Have an Actual Weapon,no object,Car,No,Female,White,3
No,Unarmed/Did Not Have an Actual Weapon,others,Foot,No,Male,Hispanic,0
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White,0
No,Vehicle,vehicle,Car,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Foot,Yes,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Native American,1
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Female,White,0
Yes,Unarmed/Did Not Have an Actual Weapon,others,Foot,No,Male,White,1
No,Vehicle,vehicle,Car,No,Male,White,0
Yes,Allegedly Armed,others,Not fleeing,No,Male,White,1
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Female,White,1
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,1
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Yes,Unarmed/Did Not Have an Actual Weapon,others,Foot,No,Male,White,1
Unknown,Allegedly Armed,others,Foot,No,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,knife,Foot,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
Unknown,Vehicle,vehicle,Foot,No,Male,White,0
No,Allegedly Armed,gun,Foot,Yes,Male,Black,0
No,Unclear,undetermined,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Car,No,Male,White,0
No,Allegedly Armed,knife,Not fleeing,Yes,Male,White,0
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Yes,Male,Black,3
Unknown,Allegedly Armed,knife,Not fleeing,Yes,Male,Hispanic,0
Unknown,Unclear,undetermined,Inputed NF,No,Male,Unknown race,0
Yes,Allegedly Armed,knife,Not fleeing,No,Female,Pacific Islander,1
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,White,3
Unknown,Unclear,others,Not fleeing,No,Male,Asian,0
Unknown,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,Yes,Male,White,0
Yes,Allegedly Armed,knife,Not fleeing,Yes,Male,White,1
Unknown,Unclear,undetermined,Car,No,Male,White,0
No,Unclear,undetermined,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,others,Not fleeing,No,Male,Black,1
Unknown,Allegedly Armed,gun,Not fleeing,Yes,Male,Hispanic,0
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,No,Female,Black,3
Yes,Unclear,others,Not fleeing,No,Male,White,1
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic,0
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,1
Unknown,Vehicle,vehicle,Car,No,Male,White,0
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Black,1
Unknown,Allegedly Armed,gun,Foot,Yes,Male,Hispanic,0
Unknown,Allegedly Armed,gun,Not fleeing,Yes,Male,White,0
Unknown,Allegedly Armed,gun,Not fleeing,Yes,Male,White,0
Unknown,Unclear,undetermined,Car,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Black,1
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,Hispanic,3
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,1
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,Black,0
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Black,0
Unknown,Vehicle,vehicle,Inputed NF,Inputed No,Male,White,2
Unknown,Allegedly Armed,gun,Inputed NF,No,Male,Black,0
Yes,Unclear,undetermined,Not fleeing,No,Male,Hispanic,1
Unknown,Allegedly Armed,gun,Other,No,Female,White,0
Unknown,Unarmed/Did Not Have an Actual Weapon,others,Inputed NF,Inputed No,Male,White,3
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,Hispanic,1
Unknown,Vehicle,vehicle,Car,No,Male,White,0
Unknown,Allegedly Armed,gun,Other,No,Male,White,0
Yes,Allegedly Armed,others,Not fleeing,No,Male,White,1
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Asian,3
Unknown,Vehicle,vehicle,Car,No,Male,Black,0
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Unknown,Allegedly Armed,gun,Not fleeing,Yes,Male,Black,0
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,Asian,0
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
Yes,Allegedly Armed,gun,Not fleeing,No,Female,White,1
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
Unknown,Unclear,undetermined,Inputed NF,Yes,Male,Hispanic,2
Unknown,Unclear,undetermined,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,others,Not fleeing,No,Male,White,1
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,Pacific Islander,0
